epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1186,1.62776,3.69533,0.01355,0.0153,0.00867,0.00114,0.00022,2.39711,4.72636,0.04377,0.000655556,0.000655556,0.0678778
2,24.4771,1.51703,2.39255,0.01193,0.09711,0.39224,0.14044,0.06736,1.56553,2.79728,0.02513,0.00132214,0.00132214,0.035211
3,36.2985,1.5046,1.91566,0.01206,0.31122,0.27161,0.22856,0.10697,1.7883,2.28128,0.02917,0.0019884,0.0019884,0.00254396
4,48.9239,1.43135,1.69289,0.01144,0.3842,0.54958,0.39586,0.2342,1.51936,1.52774,0.02218,0.0019989,0.0019989,0.0019989
5,59.2326,1.43823,1.46333,0.0113,0.45635,0.53368,0.5009,0.27475,1.67528,1.36666,0.02598,0.00199805,0.00199805,0.00199805
6,71.7087,1.44604,1.349,0.01152,0.57893,0.59195,0.62797,0.35303,1.63725,1.21001,0.0265,0.00199695,0.00199695,0.00199695
7,82.7511,1.44154,1.25444,0.0113,0.55805,0.6521,0.66369,0.35914,1.69614,1.28056,0.02819,0.00199561,0.00199561,0.00199561
8,94.6915,1.39751,1.13156,0.01092,0.61139,0.67241,0.6977,0.34137,1.8028,1.13353,0.02705,0.00199402,0.00199402,0.00199402
9,107.007,1.35435,1.03759,0.01056,0.70049,0.65914,0.73456,0.42443,1.49604,1.12717,0.0221,0.00199219,0.00199219,0.00199219
10,117.244,1.3624,0.98625,0.01052,0.73316,0.73795,0.80153,0.46439,1.5416,0.88404,0.02203,0.00199012,0.00199012,0.00199012
11,129.976,1.34549,0.94476,0.01037,0.74253,0.66511,0.73939,0.41998,1.56184,1.02462,0.02374,0.00198781,0.00198781,0.00198781
12,140.844,1.31156,0.94214,0.01006,0.7384,0.75163,0.78672,0.45802,1.51434,0.92781,0.02214,0.00198526,0.00198526,0.00198526
13,153.119,1.3213,0.86647,0.01019,0.7897,0.77415,0.84091,0.51381,1.38547,0.78348,0.02101,0.00198246,0.00198246,0.00198246
14,165.732,1.32713,0.88389,0.01024,0.75547,0.77689,0.83799,0.51532,1.38811,0.83092,0.02022,0.00197943,0.00197943,0.00197943
15,175.949,1.33209,0.8546,0.01035,0.73904,0.69245,0.75486,0.44273,1.51103,1.05804,0.02248,0.00197616,0.00197616,0.00197616
16,188.148,1.32733,0.8194,0.01034,0.78098,0.75957,0.82121,0.5062,1.41807,0.74033,0.02071,0.00197265,0.00197265,0.00197265
17,198.922,1.28515,0.77113,0.0099,0.82661,0.80354,0.87052,0.51264,1.50806,0.736,0.02118,0.0019689,0.0019689,0.0019689
18,211.001,1.27807,0.78238,0.00983,0.84674,0.7531,0.85259,0.51417,1.44265,0.76587,0.02145,0.00196491,0.00196491,0.00196491
19,223.35,1.26287,0.75569,0.00972,0.84536,0.80912,0.8779,0.51872,1.5302,0.74244,0.02248,0.00196069,0.00196069,0.00196069
20,233.78,1.25644,0.75705,0.00963,0.72743,0.69717,0.74544,0.43743,1.52622,1.0768,0.02267,0.00195624,0.00195624,0.00195624
21,246.003,1.27476,0.75144,0.00982,0.81644,0.80629,0.8762,0.53478,1.39185,0.6806,0.01939,0.00195155,0.00195155,0.00195155
22,256.448,1.25903,0.72755,0.00963,0.78885,0.78585,0.82589,0.53166,1.3567,0.71214,0.01953,0.00194662,0.00194662,0.00194662
23,268.588,1.2596,0.70678,0.00981,0.85612,0.80481,0.88973,0.50366,1.6119,0.6524,0.02437,0.00194147,0.00194147,0.00194147
24,281.013,1.26578,0.69802,0.00958,0.83722,0.78516,0.86985,0.53449,1.47035,0.70819,0.02105,0.00193609,0.00193609,0.00193609
25,291.242,1.22687,0.68763,0.00946,0.81561,0.78303,0.85562,0.50783,1.47751,0.75243,0.02143,0.00193048,0.00193048,0.00193048
26,303.597,1.23424,0.6922,0.00954,0.8068,0.8013,0.8639,0.51954,1.47594,0.7312,0.02275,0.00192464,0.00192464,0.00192464
27,313.744,1.21487,0.65441,0.00918,0.84191,0.79999,0.87285,0.55136,1.37547,0.68859,0.01971,0.00191858,0.00191858,0.00191858
28,326.155,1.21573,0.66255,0.00936,0.77838,0.8128,0.81791,0.4873,1.46143,0.73665,0.02161,0.00191229,0.00191229,0.00191229
29,338.332,1.19736,0.65665,0.00907,0.83849,0.80074,0.8676,0.53847,1.42354,0.65592,0.02104,0.00190578,0.00190578,0.00190578
30,348.372,1.20036,0.62571,0.00912,0.88271,0.82183,0.90748,0.5768,1.32874,0.59165,0.01902,0.00189905,0.00189905,0.00189905
31,360.964,1.17709,0.62326,0.00887,0.82574,0.8443,0.87532,0.53979,1.41237,0.63804,0.02084,0.0018921,0.0018921,0.0018921
32,370.768,1.18596,0.629,0.00904,0.82234,0.81095,0.86767,0.52637,1.40563,0.68542,0.0199,0.00188493,0.00188493,0.00188493
33,383.111,1.1833,0.61339,0.00892,0.86605,0.79029,0.87614,0.52608,1.47376,0.69876,0.02127,0.00187754,0.00187754,0.00187754
34,395.52,1.1592,0.60442,0.0087,0.83891,0.80261,0.86352,0.51974,1.48326,0.67973,0.02178,0.00186995,0.00186995,0.00186995
35,405.71,1.17233,0.59727,0.00876,0.80239,0.81731,0.865,0.52621,1.4853,0.69776,0.02301,0.00186213,0.00186213,0.00186213
36,417.995,1.17323,0.59774,0.00888,0.82404,0.81092,0.86146,0.53914,1.39051,0.6649,0.01994,0.00185411,0.00185411,0.00185411
37,427.953,1.16318,0.60622,0.00879,0.81765,0.78699,0.84631,0.52246,1.43769,0.71574,0.0207,0.00184588,0.00184588,0.00184588
38,440.414,1.14663,0.58884,0.00879,0.82652,0.85097,0.88348,0.53598,1.4536,0.62118,0.02088,0.00183745,0.00183745,0.00183745
39,452.851,1.15902,0.58705,0.00883,0.81022,0.8044,0.85065,0.53132,1.3956,0.68891,0.01996,0.00182881,0.00182881,0.00182881
40,463.295,1.16027,0.58688,0.00873,0.82619,0.81172,0.86234,0.52748,1.4003,0.68916,0.02069,0.00181997,0.00181997,0.00181997
41,475.872,1.13097,0.55272,0.00865,0.79899,0.81405,0.85081,0.54673,1.34101,0.67261,0.01897,0.00181093,0.00181093,0.00181093
42,486.082,1.14645,0.57322,0.00871,0.84652,0.82125,0.88399,0.52212,1.50346,0.65988,0.02297,0.00180169,0.00180169,0.00180169
43,498.225,1.13393,0.56448,0.00867,0.8556,0.80944,0.88476,0.5717,1.33512,0.62653,0.01896,0.00179225,0.00179225,0.00179225
44,510.226,1.13433,0.5632,0.00866,0.82552,0.76953,0.86395,0.51599,1.51584,0.72103,0.02147,0.00178263,0.00178263,0.00178263
45,521.189,1.13251,0.55925,0.00844,0.7921,0.8167,0.84254,0.53265,1.35216,0.67815,0.01849,0.00177281,0.00177281,0.00177281
46,533.46,1.13306,0.57368,0.00848,0.87995,0.8347,0.91124,0.57261,1.41651,0.58906,0.02032,0.0017628,0.0017628,0.0017628
47,543.363,1.09765,0.54256,0.00831,0.8182,0.7862,0.8504,0.54282,1.38653,0.69501,0.01972,0.00175261,0.00175261,0.00175261
