epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5563,1.9677,2.94499,0.03832,0.12027,0.42754,0.52124,0.42767,0.29134,1.14079,1.69797,0.01876,0.10984,0.000198742,0.000198742,0.0803245
2,33.5691,1.7932,1.95009,0.03835,0.0966,0.48427,0.67071,0.54487,0.40691,0.88933,1.24585,0.01506,0.06148,0.000398718,0.000398718,0.0605245
3,49.3649,1.70624,1.7337,0.03828,0.09111,0.50443,0.78378,0.63277,0.48257,0.93907,1.06564,0.0149,0.06292,0.000598596,0.000598596,0.0407244
4,65.7458,1.65332,1.57956,0.03723,0.08693,0.58894,0.7722,0.73247,0.52731,0.99932,0.92959,0.01648,0.06996,0.000798303,0.000798303,0.0209241
5,93.0107,1.62797,1.43421,0.03521,0.08759,0.6497,0.7734,0.78149,0.54996,1.08221,0.89402,0.01795,0.08493,0.000997767,0.000997767,0.00112355
6,122.986,1.54666,1.36058,0.03724,0.08417,0.71429,0.82239,0.81988,0.61278,0.92064,0.73299,0.01463,0.06178,0.000998474,0.000998474,0.000998474
7,150.745,1.50314,1.30655,0.03466,0.085,0.79762,0.75676,0.86393,0.64896,0.89839,0.68576,0.01431,0.07184,0.000997803,0.000997803,0.000997803
8,180.633,1.49069,1.25628,0.03553,0.07764,0.79551,0.85616,0.90357,0.70011,0.83924,0.59187,0.01329,0.07405,0.000997011,0.000997011,0.000997011
9,208.979,1.47313,1.22331,0.03438,0.07591,0.82832,0.89416,0.92793,0.71333,0.89303,0.53435,0.01619,0.05081,0.000996097,0.000996097,0.000996097
10,238.58,1.49482,1.21235,0.03618,0.08239,0.87072,0.85813,0.94439,0.68398,0.99344,0.52478,0.01599,0.09292,0.000995062,0.000995062,0.000995062
11,266.947,1.4834,1.18717,0.03566,0.08977,0.89403,0.88031,0.955,0.70095,0.99133,0.59879,0.01404,0.08315,0.000993906,0.000993906,0.000993906
