epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.71118,1.72145,3.9974,0.01208,0.00805,0.09363,0.05391,0.02478,1.70468,3.63841,0.01606,0.0005,0.0005,0.0755
2,6.35177,1.58413,2.57219,0.01096,0.05985,0.26517,0.11719,0.04907,1.91343,3.71745,0.01843,0.00101994,0.00101994,0.0500199
3,9.17068,1.607,1.96866,0.01087,0.05425,0.88486,0.26285,0.11362,1.94815,2.42502,0.01833,0.00153962,0.00153962,0.0245396
4,11.883,1.63744,1.6314,0.01091,0.56028,0.20982,0.37446,0.15925,2.11035,1.66266,0.01915,0.0019989,0.0019989,0.0019989
5,14.5828,1.60018,1.48638,0.01052,0.54746,0.35748,0.40907,0.19494,1.91307,1.57545,0.01715,0.00199805,0.00199805,0.00199805
6,17.3182,1.60015,1.34774,0.01072,0.55999,0.52922,0.56303,0.30272,1.69528,1.28293,0.01477,0.00199695,0.00199695,0.00199695
7,19.8953,1.54751,1.22797,0.01016,0.52609,0.63493,0.61032,0.2932,1.91185,1.03567,0.01629,0.00199561,0.00199561,0.00199561
8,22.4831,1.52878,1.09823,0.01022,0.71025,0.63209,0.71656,0.39551,1.66196,1.09971,0.01465,0.00199402,0.00199402,0.00199402
9,25.0719,1.5306,1.0093,0.01024,0.6637,0.66539,0.73211,0.3424,2.02535,0.96965,0.01814,0.00199219,0.00199219,0.00199219
10,27.8119,1.46621,0.94536,0.00966,0.72113,0.73217,0.79006,0.44539,1.68468,0.98417,0.01484,0.00199012,0.00199012,0.00199012
11,30.5607,1.4977,0.90295,0.00996,0.7963,0.68291,0.8358,0.45874,1.62581,1.10956,0.01408,0.00198781,0.00198781,0.00198781
12,33.1569,1.46397,0.87697,0.00981,0.70971,0.70625,0.78518,0.34691,2.02591,0.94869,0.01781,0.00198526,0.00198526,0.00198526
13,35.7147,1.44849,0.8573,0.0095,0.7822,0.81385,0.84773,0.4695,1.65239,0.82176,0.0145,0.00198246,0.00198246,0.00198246
14,38.2953,1.45219,0.83164,0.00951,0.8066,0.8117,0.86408,0.39394,2.06136,0.85047,0.01732,0.00197943,0.00197943,0.00197943
15,41.1124,1.48827,0.82514,0.0098,0.79264,0.8125,0.86608,0.46726,1.79291,0.90283,0.01522,0.00197616,0.00197616,0.00197616
16,43.7047,1.42564,0.78019,0.00934,0.83688,0.78954,0.87564,0.44409,1.92735,0.77849,0.01656,0.00197265,0.00197265,0.00197265
17,46.3159,1.40566,0.73843,0.00927,0.86846,0.81832,0.88784,0.45137,1.88279,0.86378,0.0163,0.0019689,0.0019689,0.0019689
18,48.9315,1.38857,0.71725,0.00896,0.82338,0.79508,0.87634,0.4529,1.84463,0.88649,0.01592,0.00196491,0.00196491,0.00196491
19,51.4936,1.38756,0.70296,0.00914,0.91699,0.78258,0.88421,0.46353,1.79061,0.72354,0.01497,0.00196069,0.00196069,0.00196069
20,54.0698,1.39813,0.72113,0.00909,0.80271,0.81582,0.85921,0.42745,1.93187,0.772,0.01652,0.00195624,0.00195624,0.00195624
21,56.6822,1.39257,0.68757,0.00907,0.77592,0.79681,0.8428,0.35968,2.22946,0.82927,0.02002,0.00195155,0.00195155,0.00195155
22,59.2503,1.36469,0.66411,0.00889,0.85326,0.77011,0.86921,0.48294,1.63935,0.72855,0.0143,0.00194662,0.00194662,0.00194662
23,62.0333,1.36977,0.64042,0.00887,0.82817,0.84319,0.87558,0.44034,1.83584,0.77622,0.01583,0.00194147,0.00194147,0.00194147
24,64.6659,1.38182,0.64366,0.00897,0.82772,0.78275,0.82956,0.37809,1.99728,0.7938,0.0167,0.00193609,0.00193609,0.00193609
25,67.421,1.34161,0.62488,0.00852,0.92567,0.82097,0.884,0.46957,1.82309,0.72435,0.01554,0.00193048,0.00193048,0.00193048
26,70.171,1.35264,0.61201,0.00873,0.80543,0.89283,0.89347,0.47057,1.80633,0.65234,0.01556,0.00192464,0.00192464,0.00192464
27,72.8717,1.33595,0.62196,0.00854,0.88194,0.80082,0.88137,0.45856,1.85118,0.76374,0.01599,0.00191858,0.00191858,0.00191858
28,75.4201,1.33141,0.61097,0.00867,0.84137,0.84266,0.89457,0.45285,1.85227,0.73117,0.01561,0.00191229,0.00191229,0.00191229
29,78.112,1.3215,0.59762,0.00856,0.92844,0.83061,0.90076,0.45706,1.82617,0.7112,0.01584,0.00190578,0.00190578,0.00190578
30,80.8983,1.29239,0.59909,0.0082,0.88929,0.82688,0.884,0.40511,1.95063,0.78756,0.01656,0.00189905,0.00189905,0.00189905
31,83.6111,1.27991,0.59131,0.00831,0.92553,0.85661,0.92018,0.46677,1.82575,0.67571,0.0167,0.0018921,0.0018921,0.0018921
32,86.217,1.26132,0.57149,0.00808,0.91052,0.8049,0.90964,0.47873,1.72277,0.68821,0.0148,0.00188493,0.00188493,0.00188493
33,88.8044,1.25723,0.58514,0.00812,0.8842,0.86699,0.91208,0.47521,1.82985,0.73038,0.01514,0.00187754,0.00187754,0.00187754
34,91.3915,1.26516,0.56682,0.00808,0.89515,0.8959,0.9169,0.44089,1.85151,0.61888,0.01546,0.00186995,0.00186995,0.00186995
35,93.9765,1.26439,0.56212,0.00818,0.82134,0.86299,0.90703,0.46696,1.84341,0.66519,0.01535,0.00186213,0.00186213,0.00186213
36,96.6102,1.24792,0.52227,0.00819,0.87776,0.84808,0.90359,0.483,1.77379,0.65108,0.01488,0.00185411,0.00185411,0.00185411
37,99.2108,1.2733,0.54441,0.00824,0.89523,0.8683,0.91044,0.43965,1.96751,0.67167,0.01668,0.00184588,0.00184588,0.00184588
38,101.835,1.22088,0.53559,0.00775,0.87536,0.89106,0.91035,0.47186,1.8522,0.70818,0.01568,0.00183745,0.00183745,0.00183745
39,104.419,1.20795,0.50261,0.00782,0.92761,0.86677,0.92326,0.50102,1.79238,0.65906,0.01526,0.00182881,0.00182881,0.00182881
40,107.187,1.21781,0.53898,0.00766,0.88407,0.85174,0.90204,0.48336,1.73995,0.71953,0.01531,0.00181997,0.00181997,0.00181997
41,109.96,1.22072,0.52565,0.00786,0.90207,0.85949,0.8987,0.48077,1.67215,0.59696,0.01463,0.00181093,0.00181093,0.00181093
42,112.548,1.26853,0.56096,0.00845,0.88319,0.8882,0.91028,0.48546,1.77451,0.65026,0.01504,0.00180169,0.00180169,0.00180169
43,115.167,1.18503,0.52191,0.00762,0.94864,0.81594,0.90552,0.47176,1.81035,0.63836,0.01536,0.00179225,0.00179225,0.00179225
44,117.768,1.16745,0.5046,0.00743,0.90169,0.8527,0.91772,0.47559,1.75576,0.63235,0.01565,0.00178263,0.00178263,0.00178263
45,120.331,1.16855,0.49902,0.00749,0.85584,0.8506,0.89628,0.46209,1.81459,0.71165,0.01565,0.00177281,0.00177281,0.00177281
46,122.976,1.14731,0.49446,0.00731,0.8948,0.86843,0.91929,0.50425,1.74521,0.64344,0.01503,0.0017628,0.0017628,0.0017628
47,125.727,1.17356,0.48834,0.00726,0.89355,0.87639,0.90559,0.48978,1.73302,0.64119,0.01476,0.00175261,0.00175261,0.00175261
48,128.4,1.1414,0.46563,0.00734,0.92464,0.88322,0.93139,0.48166,1.86367,0.64239,0.01616,0.00174223,0.00174223,0.00174223
49,131.271,1.14139,0.46828,0.00726,0.91896,0.88437,0.9243,0.49253,1.75319,0.6197,0.01527,0.00173168,0.00173168,0.00173168
50,133.998,1.17968,0.47777,0.00749,0.86874,0.84568,0.89757,0.48462,1.73993,0.62101,0.01466,0.00172095,0.00172095,0.00172095
51,136.881,1.16721,0.47473,0.00753,0.91206,0.8531,0.90895,0.45247,1.94198,0.65775,0.01776,0.00171004,0.00171004,0.00171004
52,139.491,1.21224,0.4958,0.00795,0.90348,0.87787,0.91863,0.4546,1.88862,0.64493,0.01759,0.00169895,0.00169895,0.00169895
53,142.139,1.13312,0.47149,0.00732,0.93169,0.89472,0.93349,0.47652,1.83219,0.64025,0.01588,0.0016877,0.0016877,0.0016877
54,144.811,1.12459,0.48026,0.00711,0.94346,0.88669,0.95354,0.49359,1.79935,0.63233,0.01549,0.00167628,0.00167628,0.00167628
55,147.529,1.09686,0.4396,0.00689,0.96283,0.88935,0.94434,0.50795,1.74738,0.60005,0.01518,0.0016647,0.0016647,0.0016647
56,150.141,1.10913,0.46523,0.00723,0.91464,0.88069,0.92695,0.50202,1.7638,0.64707,0.01564,0.00165295,0.00165295,0.00165295
57,152.758,1.10168,0.45447,0.00691,0.93921,0.8699,0.94008,0.50107,1.75817,0.62477,0.01507,0.00164105,0.00164105,0.00164105
58,155.337,1.08534,0.44082,0.0069,0.92628,0.85256,0.91842,0.46217,1.85427,0.6985,0.01583,0.00162899,0.00162899,0.00162899
59,157.948,1.09718,0.46611,0.00684,0.88438,0.86127,0.90553,0.45424,1.85562,0.7241,0.01583,0.00161678,0.00161678,0.00161678
60,160.552,1.09273,0.45847,0.00694,0.87179,0.86647,0.91798,0.48282,1.75768,0.65962,0.01512,0.00160442,0.00160442,0.00160442
61,163.147,1.08922,0.4455,0.00681,0.87245,0.88169,0.90617,0.44077,1.82787,0.67804,0.01627,0.00159191,0.00159191,0.00159191
62,165.723,1.06571,0.45132,0.00685,0.91437,0.87394,0.92191,0.46461,1.80548,0.64996,0.0156,0.00157926,0.00157926,0.00157926
63,168.309,1.07513,0.43312,0.00687,0.93952,0.86394,0.92184,0.52057,1.66622,0.63423,0.01427,0.00156646,0.00156646,0.00156646
64,170.912,1.077,0.45277,0.00684,0.93709,0.86138,0.94484,0.5021,1.68683,0.57776,0.01481,0.00155353,0.00155353,0.00155353
65,173.503,1.05798,0.41903,0.00668,0.92391,0.8199,0.92984,0.47165,1.80114,0.6463,0.01566,0.00154047,0.00154047,0.00154047
66,176.111,1.04236,0.42897,0.0066,0.90968,0.8816,0.91375,0.44095,1.8357,0.64692,0.0159,0.00152727,0.00152727,0.00152727
67,178.691,1.07895,0.45395,0.00671,0.88895,0.84219,0.9119,0.46077,1.8643,0.65386,0.0162,0.00151395,0.00151395,0.00151395
68,181.332,1.04603,0.42053,0.00662,0.87537,0.86369,0.92015,0.45268,1.87549,0.64637,0.01624,0.0015005,0.0015005,0.0015005
69,183.967,1.06587,0.43026,0.00671,0.92314,0.81014,0.91067,0.4731,1.8075,0.68575,0.01571,0.00148694,0.00148694,0.00148694
70,186.648,1.00504,0.40801,0.00621,0.92932,0.8838,0.93076,0.48772,1.8105,0.59184,0.01515,0.00147325,0.00147325,0.00147325
71,189.331,1.00558,0.39505,0.00633,0.88338,0.84415,0.9167,0.4488,1.91485,0.68433,0.0168,0.00145945,0.00145945,0.00145945
72,191.992,1.01791,0.41175,0.0064,0.89557,0.82409,0.92427,0.479,1.75453,0.64489,0.01518,0.00144554,0.00144554,0.00144554
73,194.642,0.99749,0.37483,0.00635,0.90553,0.85286,0.91063,0.45226,1.83701,0.65873,0.01585,0.00143152,0.00143152,0.00143152
74,197.349,0.99043,0.38916,0.00625,0.85759,0.88044,0.91706,0.48097,1.7355,0.65512,0.01485,0.0014174,0.0014174,0.0014174
75,200.075,1.01042,0.41705,0.00619,0.92429,0.88335,0.93255,0.50538,1.67184,0.63253,0.01451,0.00140318,0.00140318,0.00140318
76,202.764,0.99868,0.40282,0.00618,0.9295,0.83617,0.91542,0.46904,1.73676,0.66499,0.01551,0.00138886,0.00138886,0.00138886
77,205.414,0.99386,0.41664,0.00604,0.87029,0.86809,0.8977,0.45555,1.83571,0.68642,0.01584,0.00137444,0.00137444,0.00137444
78,208.086,0.98682,0.39803,0.00611,0.88698,0.8622,0.91984,0.46754,1.76344,0.65549,0.01518,0.00135994,0.00135994,0.00135994
79,210.708,0.95415,0.40027,0.00591,0.91395,0.86403,0.92822,0.48102,1.75891,0.62143,0.01476,0.00134535,0.00134535,0.00134535
80,213.325,0.97476,0.41221,0.00607,0.88477,0.87579,0.91389,0.49616,1.79006,0.65131,0.01527,0.00133068,0.00133068,0.00133068
81,215.944,0.99628,0.40912,0.00622,0.92321,0.89059,0.93589,0.45608,1.92408,0.70553,0.01701,0.00131593,0.00131593,0.00131593
82,218.537,0.98543,0.40654,0.00614,0.90234,0.88278,0.92244,0.46819,1.83551,0.64867,0.01673,0.0013011,0.0013011,0.0013011
83,221.251,0.95303,0.37394,0.00598,0.90612,0.87019,0.91472,0.47445,1.78264,0.6191,0.01514,0.0012862,0.0012862,0.0012862
84,223.952,0.97148,0.39963,0.00614,0.91898,0.90485,0.93575,0.47316,1.81464,0.61372,0.01516,0.00127123,0.00127123,0.00127123
85,226.588,0.99049,0.39852,0.00626,0.9039,0.87126,0.91724,0.46442,1.78604,0.60488,0.015,0.0012562,0.0012562,0.0012562
86,229.368,0.99833,0.408,0.00627,0.88698,0.89147,0.92395,0.46545,1.85181,0.60851,0.01644,0.00124111,0.00124111,0.00124111
