epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9605,1.84757,2.33291,0.02711,0.11889,0.68929,0.6646,0.70711,0.43181,1.22616,1.4391,0.02155,0.07269,0.000199184,0.000199184,0.0802808
2,74.5257,1.69831,1.52517,0.02598,0.09497,0.69911,0.82259,0.81461,0.48708,1.34536,0.92005,0.02459,0.06408,0.000399159,0.000399159,0.0604808
3,108.313,1.61035,1.33697,0.02388,0.09224,0.88784,0.77019,0.90814,0.63133,1.07558,0.69837,0.01738,0.06166,0.000599037,0.000599037,0.0406807
4,142.445,1.53903,1.22424,0.0223,0.0858,0.95176,0.85787,0.95497,0.61733,1.15802,0.53671,0.01839,0.07089,0.000798745,0.000798745,0.0208804
5,176.179,1.4927,1.16791,0.02019,0.08684,0.86672,0.88865,0.94843,0.63809,1.03739,0.62029,0.01563,0.06118,0.000998208,0.000998208,0.00107984
6,210.958,1.45273,1.10425,0.01856,0.08071,0.97522,0.8882,0.96853,0.67127,1.06934,0.43175,0.01564,0.085,0.000998474,0.000998474,0.000998474
7,245.798,1.44538,1.07449,0.01996,0.0808,0.95442,0.83851,0.96134,0.68796,0.94584,0.50218,0.0136,0.06003,0.000997803,0.000997803,0.000997803
8,280.991,1.39392,1.08421,0.01932,0.07587,0.98664,0.91711,0.97883,0.70411,0.98017,0.42293,0.01562,0.05486,0.000997011,0.000997011,0.000997011
9,315.498,1.40249,1.03809,0.01942,0.07997,0.95518,0.91304,0.97965,0.73965,0.89686,0.45356,0.01268,0.05269,0.000996097,0.000996097,0.000996097
10,349.504,1.39522,1.04338,0.01869,0.07896,0.97515,0.90062,0.97358,0.69701,1.00088,0.44076,0.01522,0.06672,0.000995062,0.000995062,0.000995062
11,384.061,1.37568,0.99702,0.01816,0.081,0.93626,0.9441,0.9527,0.66488,1.01636,0.53407,0.01637,0.06473,0.000993906,0.000993906,0.000993906
12,417.904,1.35722,0.97219,0.01888,0.0765,0.95631,0.95031,0.97845,0.70252,0.96344,0.44349,0.01517,0.05487,0.000992629,0.000992629,0.000992629
13,451.653,1.34562,0.98013,0.01796,0.07754,0.97364,0.91766,0.97614,0.70182,0.9687,0.42952,0.01439,0.05755,0.000991232,0.000991232,0.000991232
14,485.187,1.36858,0.96927,0.01842,0.08127,0.97405,0.93241,0.97474,0.69054,1.04783,0.44981,0.0166,0.05318,0.000989715,0.000989715,0.000989715
15,518.921,1.33308,0.91932,0.0172,0.07478,0.95491,0.96273,0.98068,0.73069,0.94878,0.40669,0.01519,0.05076,0.000988079,0.000988079,0.000988079
16,552.565,1.37153,0.97685,0.01854,0.07844,0.96053,0.96894,0.98141,0.72742,0.91913,0.36145,0.01467,0.05099,0.000986323,0.000986323,0.000986323
17,586.106,1.34923,0.92286,0.01823,0.07282,0.94027,0.95031,0.97735,0.74225,0.86298,0.42778,0.01222,0.05554,0.000984449,0.000984449,0.000984449
18,619.815,1.35174,0.92867,0.01768,0.08002,0.94735,0.96273,0.98656,0.74681,0.88701,0.36544,0.01328,0.04769,0.000982456,0.000982456,0.000982456
19,653.406,1.33423,0.91775,0.01693,0.07344,0.97848,0.95652,0.98543,0.73417,0.91129,0.37725,0.01342,0.05599,0.000980345,0.000980345,0.000980345
20,686.991,1.33258,0.88957,0.01707,0.07495,0.96789,0.93616,0.98526,0.72619,0.94113,0.39574,0.01411,0.05018,0.000978118,0.000978118,0.000978118
21,720.792,1.33276,0.90436,0.01734,0.07477,0.97241,0.96273,0.98526,0.72508,0.95464,0.39286,0.01418,0.05138,0.000975773,0.000975773,0.000975773
22,754.969,1.33459,0.92506,0.01745,0.07538,0.96178,0.95652,0.98705,0.74646,0.89854,0.36066,0.01266,0.05383,0.000973312,0.000973312,0.000973312
23,788.707,1.3021,0.87435,0.01696,0.07295,0.96925,0.93789,0.9879,0.75076,0.8912,0.3773,0.01382,0.04927,0.000970736,0.000970736,0.000970736
24,823.009,1.29029,0.87631,0.01643,0.07038,0.97462,0.95424,0.98871,0.7478,0.86776,0.4013,0.01278,0.04436,0.000968045,0.000968045,0.000968045
25,856.941,1.28507,0.86181,0.0169,0.07255,0.96841,0.95199,0.98348,0.72456,0.96804,0.39167,0.01395,0.0539,0.000965239,0.000965239,0.000965239
26,891.075,1.29555,0.87991,0.01602,0.07087,0.9457,0.97366,0.98879,0.74111,0.8563,0.38069,0.0122,0.04421,0.00096232,0.00096232,0.00096232
27,924.712,1.29604,0.83828,0.01635,0.07263,0.97485,0.96286,0.98766,0.73666,0.88992,0.38979,0.01227,0.05453,0.000959289,0.000959289,0.000959289
28,958.373,1.28349,0.83245,0.01649,0.06848,0.98099,0.96167,0.99194,0.73361,0.89223,0.33744,0.0124,0.05542,0.000956145,0.000956145,0.000956145
29,991.89,1.28309,0.83601,0.01595,0.07124,0.98739,0.97253,0.99178,0.74819,0.85449,0.32764,0.01219,0.05244,0.000952889,0.000952889,0.000952889
30,1025.93,1.27738,0.85014,0.01605,0.0737,0.98141,0.95652,0.98369,0.7416,0.87087,0.35381,0.01233,0.0513,0.000949524,0.000949524,0.000949524
31,1059.48,1.26987,0.81604,0.01602,0.07267,0.98737,0.97114,0.98424,0.76195,0.88317,0.31483,0.01312,0.0568,0.000946048,0.000946048,0.000946048
32,1093.31,1.27838,0.82863,0.01593,0.07236,0.96297,0.96921,0.9894,0.76557,0.84483,0.32684,0.0119,0.0505,0.000942464,0.000942464,0.000942464
33,1126.97,1.25732,0.82809,0.01613,0.07025,0.96368,0.97516,0.99122,0.75556,0.84293,0.30557,0.01216,0.05367,0.000938772,0.000938772,0.000938772
34,1160.64,1.24648,0.80263,0.01543,0.07032,0.98746,0.97819,0.99152,0.75095,0.82708,0.30614,0.01126,0.05345,0.000934973,0.000934973,0.000934973
35,1194.21,1.25903,0.82354,0.01569,0.06926,0.97555,0.96273,0.99277,0.73387,0.88314,0.3113,0.01436,0.0559,0.000931067,0.000931067,0.000931067
36,1227.98,1.27458,0.83557,0.01587,0.07169,0.96842,0.95652,0.99177,0.74943,0.84189,0.35062,0.01179,0.05166,0.000927057,0.000927057,0.000927057
37,1261.64,1.23671,0.81579,0.01494,0.07048,0.9695,0.98709,0.99188,0.75453,0.82715,0.31529,0.01158,0.05832,0.000922942,0.000922942,0.000922942
38,1295.34,1.25121,0.78191,0.01571,0.07088,0.9937,0.97996,0.99446,0.73559,0.93654,0.30622,0.01438,0.05885,0.000918725,0.000918725,0.000918725
39,1328.92,1.23857,0.80099,0.01608,0.06757,0.9873,0.98137,0.99216,0.73579,0.89785,0.31119,0.01284,0.05208,0.000914405,0.000914405,0.000914405
40,1362.44,1.25232,0.79405,0.01551,0.06917,0.98736,0.97014,0.99247,0.74977,0.8761,0.32319,0.01242,0.05203,0.000909984,0.000909984,0.000909984
41,1396.01,1.22406,0.80303,0.01527,0.07178,0.98733,0.96812,0.984,0.74856,0.85584,0.30541,0.01202,0.04963,0.000905463,0.000905463,0.000905463
42,1429.95,1.23079,0.79625,0.0155,0.06856,0.98739,0.97294,0.99333,0.73032,0.92922,0.31382,0.01298,0.05425,0.000900844,0.000900844,0.000900844
43,1463.64,1.22382,0.7786,0.01523,0.06638,0.96699,0.98758,0.99316,0.74872,0.87116,0.3344,0.01196,0.0539,0.000896127,0.000896127,0.000896127
44,1497.44,1.25244,0.81098,0.01554,0.06677,0.96169,0.97516,0.99107,0.75238,0.84779,0.33343,0.01181,0.05582,0.000891313,0.000891313,0.000891313
45,1531.19,1.24598,0.79319,0.01578,0.07269,0.975,0.98137,0.99209,0.77221,0.82396,0.30472,0.01125,0.05184,0.000886404,0.000886404,0.000886404
46,1565,1.22354,0.78937,0.01491,0.0654,0.98112,0.96833,0.98332,0.75038,0.89942,0.34544,0.01355,0.05082,0.000881401,0.000881401,0.000881401
47,1599.05,1.22769,0.78677,0.01599,0.06601,0.99119,0.97516,0.99387,0.73568,0.94505,0.34141,0.0142,0.05413,0.000876305,0.000876305,0.000876305
48,1633.25,1.22686,0.78506,0.0156,0.06831,0.96906,0.97256,0.98988,0.76429,0.8382,0.32343,0.01195,0.04591,0.000871117,0.000871117,0.000871117
49,1667.27,1.20374,0.78081,0.01553,0.06196,0.98726,0.96261,0.99245,0.73771,0.89803,0.33813,0.01232,0.05171,0.000865839,0.000865839,0.000865839
50,1700.9,1.19847,0.76177,0.01431,0.06937,0.99373,0.98475,0.99233,0.7712,0.83859,0.31112,0.01192,0.04999,0.000860473,0.000860473,0.000860473
51,1734.93,1.20044,0.75213,0.01531,0.06744,0.99366,0.97329,0.99354,0.7642,0.84364,0.29707,0.01176,0.05066,0.000855018,0.000855018,0.000855018
52,1768.89,1.20162,0.76764,0.0144,0.06727,0.96664,0.98137,0.99184,0.75705,0.88812,0.30035,0.01318,0.05141,0.000849477,0.000849477,0.000849477
53,1802.75,1.21015,0.7589,0.01492,0.06613,0.98157,0.99245,0.99444,0.75037,0.87575,0.30954,0.01283,0.05077,0.000843851,0.000843851,0.000843851
54,1836.37,1.22965,0.76898,0.0146,0.06835,0.96902,0.98137,0.99133,0.76347,0.82763,0.31683,0.01183,0.04966,0.000838141,0.000838141,0.000838141
55,1869.97,1.20463,0.75731,0.01513,0.06678,0.98746,0.95652,0.99234,0.76342,0.85123,0.29089,0.01215,0.05355,0.000832349,0.000832349,0.000832349
56,1903.67,1.19972,0.76209,0.01534,0.0665,0.98665,0.97516,0.99392,0.74728,0.88455,0.30859,0.0124,0.05358,0.000826477,0.000826477,0.000826477
57,1937.22,1.19616,0.74394,0.01516,0.06479,0.96911,0.97443,0.99215,0.76003,0.83641,0.33282,0.012,0.04423,0.000820525,0.000820525,0.000820525
58,1970.95,1.19106,0.76444,0.01484,0.06654,0.96886,0.98758,0.99247,0.75808,0.87722,0.30404,0.01206,0.05743,0.000814495,0.000814495,0.000814495
59,2004.66,1.18194,0.75437,0.0146,0.06305,0.97528,0.98022,0.9915,0.75164,0.84494,0.30801,0.01127,0.05153,0.000808389,0.000808389,0.000808389
60,2038.28,1.19782,0.7525,0.01505,0.06737,0.98928,0.97516,0.99346,0.75477,0.87065,0.29036,0.01217,0.05041,0.000802208,0.000802208,0.000802208
61,2071.89,1.19694,0.73434,0.01496,0.06791,0.96346,0.98252,0.98889,0.73266,0.94292,0.3226,0.01393,0.05729,0.000795954,0.000795954,0.000795954
62,2105.35,1.19463,0.76258,0.01484,0.06514,0.98146,0.98655,0.98945,0.74499,0.88312,0.31504,0.01259,0.05273,0.000789628,0.000789628,0.000789628
63,2138.76,1.18524,0.73578,0.01523,0.06606,0.97001,0.98758,0.99208,0.753,0.8612,0.28962,0.01199,0.05147,0.000783231,0.000783231,0.000783231
64,2172.3,1.1508,0.7255,0.01378,0.06201,0.98006,0.96894,0.98843,0.75486,0.85775,0.32254,0.01227,0.04977,0.000776766,0.000776766,0.000776766
65,2205.81,1.19836,0.75474,0.01488,0.06636,0.97981,0.99379,0.9925,0.75334,0.85217,0.32123,0.01197,0.04759,0.000770234,0.000770234,0.000770234
66,2239.34,1.18408,0.73851,0.01497,0.0683,0.98734,0.96883,0.99171,0.75633,0.83866,0.33642,0.01174,0.04763,0.000763637,0.000763637,0.000763637
67,2272.97,1.16868,0.72567,0.01489,0.06465,0.9839,0.98137,0.99374,0.75922,0.85979,0.29368,0.01229,0.05058,0.000756976,0.000756976,0.000756976
68,2306.55,1.17344,0.72527,0.01438,0.06464,0.98379,0.97516,0.99399,0.77038,0.82407,0.29364,0.01194,0.05391,0.000750252,0.000750252,0.000750252
69,2339.98,1.18153,0.71256,0.01462,0.06636,0.96368,0.98891,0.99344,0.75766,0.84639,0.29288,0.01229,0.04983,0.000743468,0.000743468,0.000743468
70,2373.54,1.18948,0.7206,0.01479,0.06534,0.98117,0.97105,0.9928,0.75912,0.82646,0.29401,0.01151,0.04886,0.000736625,0.000736625,0.000736625
