epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,249.1,1.2783,0.86028,0.01576,0.07122,0.96336,0.89123,0.97217,0.73245,1.00862,0.42191,0.01452,0.00255,0.000922942,0.000922942,0.000922942
38,255.669,1.316,0.8748,0.01512,0.07425,0.92082,0.9661,0.97627,0.71415,1.05889,0.4208,0.01421,0.00686,0.000918725,0.000918725,0.000918725
39,262.207,1.29769,0.8969,0.01532,0.07796,0.96529,0.94266,0.97817,0.74822,0.95899,0.40655,0.01478,0.00341,0.000914405,0.000914405,0.000914405
40,268.856,1.30293,0.88147,0.01472,0.07035,0.94993,0.96469,0.98046,0.73662,1.02542,0.44721,0.01555,0.00351,0.000909984,0.000909984,0.000909984
41,275.375,1.27385,0.87894,0.01428,0.07391,0.96109,0.94915,0.96827,0.76577,0.82739,0.34399,0.01108,0.00508,0.000905463,0.000905463,0.000905463
42,282.125,1.26142,0.79667,0.01509,0.0737,0.90242,0.94052,0.9749,0.71754,1.07078,0.45355,0.01675,0.00394,0.000900844,0.000900844,0.000900844
43,289.15,1.24863,0.84269,0.01493,0.06246,0.91398,0.94915,0.97233,0.67324,1.15995,0.50633,0.01401,0.0084,0.000896127,0.000896127,0.000896127
44,295.711,1.2292,0.79721,0.01394,0.0685,0.91784,0.94675,0.9741,0.73384,1.03554,0.40453,0.01532,0.0028,0.000891313,0.000891313,0.000891313
45,302.61,1.26938,0.83635,0.0154,0.07287,0.98121,0.94915,0.97919,0.74277,0.96289,0.36684,0.01468,0.00249,0.000886404,0.000886404,0.000886404
46,308.933,1.292,0.82289,0.01446,0.07563,0.93247,0.9322,0.96556,0.6844,1.13891,0.43185,0.01611,0.00374,0.000881401,0.000881401,0.000881401
47,315.607,1.26676,0.83033,0.0149,0.07499,0.90596,0.97979,0.9742,0.75572,0.86619,0.37319,0.01373,0.00752,0.000876305,0.000876305,0.000876305
48,322.334,1.26511,0.80849,0.01451,0.07174,0.96598,0.96247,0.98215,0.77637,0.8083,0.3384,0.01145,0.003,0.000871117,0.000871117,0.000871117
49,329.143,1.30011,0.82108,0.01562,0.07699,0.98101,0.9661,0.98221,0.70904,1.07023,0.36739,0.0161,0.00525,0.000865839,0.000865839,0.000865839
50,335.853,1.26893,0.82337,0.01423,0.07217,0.96468,0.92605,0.97832,0.7126,1.06713,0.39496,0.01768,0.00796,0.000860473,0.000860473,0.000860473
51,342.362,1.2246,0.77872,0.01408,0.06907,0.97247,0.94915,0.98192,0.72253,1.02246,0.3638,0.01498,0.00167,0.000855018,0.000855018,0.000855018
52,348.853,1.2706,0.80487,0.01433,0.07441,0.9179,0.9661,0.97422,0.73671,0.99782,0.40947,0.01692,0.00339,0.000849477,0.000849477,0.000849477
53,355.375,1.27319,0.79703,0.01606,0.07737,0.96441,0.98305,0.98854,0.69873,1.15891,0.37224,0.01629,0.01355,0.000843851,0.000843851,0.000843851
54,361.852,1.31186,0.83194,0.01558,0.06935,0.93157,0.9661,0.97955,0.77759,0.85291,0.32546,0.01201,0.003,0.000838141,0.000838141,0.000838141
55,368.464,1.26253,0.81648,0.0142,0.07488,0.97654,0.94915,0.98986,0.77987,0.88041,0.32371,0.01307,0.00273,0.000832349,0.000832349,0.000832349
56,374.988,1.25537,0.77616,0.01471,0.07158,1,0.92554,0.98822,0.6751,1.24269,0.38971,0.01955,0.0048,0.000826477,0.000826477,0.000826477
57,381.551,1.24211,0.77721,0.01422,0.07043,0.96703,0.99445,0.99315,0.75063,0.95283,0.29437,0.01496,0.00502,0.000820525,0.000820525,0.000820525
58,388.167,1.25958,0.75228,0.01371,0.06683,0.96077,0.9322,0.97994,0.75294,0.95502,0.38928,0.01265,0.00368,0.000814495,0.000814495,0.000814495
59,394.668,1.24797,0.76958,0.01457,0.06814,0.96609,0.96579,0.98482,0.78048,0.85251,0.32706,0.01224,0.00366,0.000808389,0.000808389,0.000808389
60,401.217,1.21411,0.74618,0.01336,0.07095,0.98036,0.84593,0.97239,0.73051,1.00481,0.42141,0.01283,0.00678,0.000802208,0.000802208,0.000802208
61,407.762,1.29917,0.83407,0.01454,0.07693,0.9661,0.96607,0.98256,0.76977,0.90001,0.36396,0.0127,0.00241,0.000795954,0.000795954,0.000795954
